adm1_en,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
National Capital Region (NCR),14710.66,606417.84,187607.56,218753.01,114969.9,47575.91,38899.32,33754.75,11252.21,23877.16,29709.49
Cordillera Administrative Region (CAR),0,0,0,217809.1,21304.08,194739.83,369559.49,2403828.32,672.22,2437.74,2641.66
Region I (Ilocos Region),4374.63,0,1467.93,2030.48,1691.13,4378.35,4905.67,3704.25,892.08,2859.79,2874.98
Region II (Cagayan Valley),279.2,73.82,51.61,0,10.25,109.97,156.3,944.61,58.78,1265.86,1670.46
Region III (Central Luzon),279848.18,1809183.89,0,1344076.6,626366.99,246407.7,331613.98,49065.38,14288.58,54032.95,48166.12
Region IV-A (CALABARZON),282846.18,5943932.49,273669.5,976186.65,118569.78,278059.85,106116.86,1171473.12,31709.44,117083.09,127486.15
MIMAROPA Region,0,0,65.17,0,3211.57,712.65,342.52,480.87,255.5,1724.59,2374.41
Region V (Bicol Region),41127.7,0,639622.88,8637.65,26656.01,23197.66,498.43,10565.65,613.95,2921.8,2816.47
Region VI (Western Visayas),0,299290.69,1299.29,1950.38,1133.76,3643.43,3773.78,2998.08,399.34,2299.21,3852.46
Region VII (Central Visayas),0,0,451877.11,278022.55,383674.06,18069.68,51016.18,191328.01,3017.31,12718.34,12432.67
Region VIII (Eastern Visayas),0,0,508.64,10674.41,20777.07,24044.8,10892.73,129992.52,42.88,938.15,1087.5
Region IX (Zamboanga Peninsula),978.56,8073.58,688.46,527.33,23217.2,3384.5,2069.54,1391.26,26.57,242.38,540.07
Region X (Northern Mindanao),0,1983.11,786482.29,871931.94,0,9603.5,14309.28,18989.13,3227.68,10764.48,11147.49
Region XI (Davao Region),101179.64,55171.4,116589.34,120472.02,4476.86,1230147.51,16763.83,648227.49,381.5,2625.43,2993.54
Region XII (SOCCSKSARGEN),0,0,280.88,0,406.71,1417.46,1689.3,2077.42,84.94,878.77,1093.09
Region XIII (Caraga),55177.92,252829.17,38777,281150.2,139342.63,13052.48,38648.86,154339.68,242.82,1872.33,1872.11
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),0,0,0,0,0,0,0,0,0,0,0
